paleta;nome_cor;codigo_hexadecimal;codigo_rgb;codigo_cmyk
"PANTONE";"Yellow C";"#FEDD00";"254,221,0";"0,13,100,0"
"PANTONE";"Yellow 012 C";"#FFD700";"255,215,0";"0,16,100,0"
"PANTONE";"Orange 021 C";"#FE5000";"254,80,0";"0,69,100,0"
"PANTONE";"Warm Red C";"#F9423A";"249,66,58";"0,73,77,2"
"PANTONE";"Red 032 C";"#EF3340";"239,51,64";"0,79,73,6"
"PANTONE";"Rubine Red C";"#CE0058";"206,0,88";"0,100,57,19"
"PANTONE";"Rhodamine Red C";"#E10098";"225,0,152";"0,100,32,12"
"PANTONE";"Purple C";"#BB29BB";"187,41,187";"0,78,0,27"
"PANTONE";"Violet C";"#440099";"68,0,153";"56,100,0,40"
"PANTONE";"Blue 072 C";"#10069F";"16,6,159";"90,96,0,38"
"PANTONE";"Reflex Blue C";"#001489";"0,20,137";"100,85,0,46"
"PANTONE";"Process Blue C";"#0085CA";"0,133,202";"100,34,0,21"
"PANTONE";"Green C";"#00AB84";"0,171,132";"100,0,23,33"
"PANTONE";"Black C";"#2D2926";"45,41,38";"0,9,16,82"
"PANTONE";"Bright Red C";"#F93822";"249,56,34";"0,78,86,2"
"PANTONE";"Pink C";"#D62598";"214,37,152";"0,83,29,16"
"PANTONE";"Medium Purple C";"#4E008E";"78,0,142";"45,100,0,44"
"PANTONE";"Dark Blue C";"#00249C";"0,36,156";"100,77,0,39"
"PANTONE";"Yellow 0131 C";"#F2F0A1";"242,240,161";"0,1,33,5"
"PANTONE";"Red 0331 C";"#FCAEBB";"252,174,187";"0,31,26,1"
"PANTONE";"Magenta 0521 C";"#F1B2DC";"241,178,220";"0,26,9,5"
"PANTONE";"Violet 0631 C";"#BF9BDE";"191,155,222";"14,30,0,13"
"PANTONE";"Blue 0821 C";"#74D1EA";"116,209,234";"50,11,0,8"
"PANTONE";"Green 0921 C";"#9DE7D7";"157,231,215";"32,0,7,9"
"PANTONE";"Black 0961 C";"#9E978E";"158,151,142";"0,4,10,38"
"PANTONE";"801 C";"#009ACE";"0,154,206";"100,25,0,19"
"PANTONE";"802 C";"#44D62C";"68,214,44";"68,0,79,16"
"PANTONE";"803 C";"#FFE900";"255,233,0";"0,9,100,0"
"PANTONE";"804 C";"#FFAA4D";"255,170,77";"0,33,70,0"
"PANTONE";"805 C";"#FF7276";"255,114,118";"0,55,54,0"
"PANTONE";"806 C";"#FF3EB5";"255,62,181";"0,76,29,0"
"PANTONE";"807 C";"#EA27C2";"234,39,194";"0,83,17,8"
"PANTONE";"871 C";"#84754E";"132,117,78";"0,11,41,48"
"PANTONE";"872 C";"#85714D";"133,113,77";"0,15,42,48"
"PANTONE";"873 C";"#866D4B";"134,109,75";"0,19,44,47"
